127.0.0.1 - - [03/Dec/2021:18:34:28 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:35:23 -0300] "GET /ProjetoIndividual/js/gerente/funcionario.js HTTP/1.1" 200 4110
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:30 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:30 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:30 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:30 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:30 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:30 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:30 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:30 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:31 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:36 -0300] "GET /ProjetoIndividual/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:36 -0300] "GET /ProjetoIndividual/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:36 -0300] "GET /ProjetoIndividual/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:36 -0300] "GET /ProjetoIndividual/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:36 -0300] "GET /ProjetoIndividual/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:36 -0300] "GET /ProjetoIndividual/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:36 -0300] "GET /ProjetoIndividual/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:40:37 -0300] "GET /ProjetoIndividual/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:11 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:11 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:11 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:11 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:11 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:12 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:15 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:16 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:16 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:16 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:16 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:16 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:42:16 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:01 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:02 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:02 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:02 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:02 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:02 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:02 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:02 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:02 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 4941
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:03 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 4941
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:04 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 5042
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:22 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:23 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 5014
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 5014
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 5014
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:43:39 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
