0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/js/index.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/gerente/js/gerente/funcionario.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/gerente/js/gerente/funcionario.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/gerente/js/gerente/funcionario.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/gerente/js/gerente/funcionario.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:16 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:17 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:17 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:17 -0300] "GET /ProjetoIndividual/pages/gerente/js/gerente/funcionario.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:17 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:17 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:17 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:17 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
